category,run_name,model,model_display,model_name,window,sfreq,shuffle_labels,n_subjects_requested,ablation_seed,n_selected_subjects,n_selected_subjects_config,n_all_unique_subjects,n_unique_subjects,n_folds,X_train_val_shape,train_val_path,checkpoint_dir,run_dir
subject_ablation,cnn_0800_250hz_nsubj18_seed004,cnn,CNN-v1,cnn,0800,250,False,18.0,4.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed004
subject_ablation,cnn_0800_250hz_nsubj18_seed005,cnn,CNN-v1,cnn,0800,250,False,18.0,5.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed005
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed001,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,1.0,2.0,2.0,18.0,2,2.0,"(3254, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed001
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed002,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,2.0,2.0,2.0,18.0,2,2.0,"(3102, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed002
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed003,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,3.0,2.0,2.0,18.0,2,2.0,"(2903, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed003
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed004,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,4.0,2.0,2.0,18.0,2,2.0,"(3261, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed004
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed005,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,5.0,2.0,2.0,18.0,2,2.0,"(3155, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed005
subject_ablation,cnn_v2_0800_250hz_nsubj04_seed001,cnn_v2,CNN-v2,cnn_v2,0800,250,False,4.0,1.0,4.0,4.0,18.0,4,4.0,"(6670, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj04/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj04/seed001
subject_ablation,cnn_v2_0800_250hz_nsubj04_seed002,cnn_v2,CNN-v2,cnn_v2,0800,250,False,4.0,2.0,4.0,4.0,18.0,4,4.0,"(6669, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj04/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj04/seed002
subject_ablation,cnn_v2_0800_250hz_nsubj04_seed003,cnn_v2,CNN-v2,cnn_v2,0800,250,False,4.0,3.0,4.0,4.0,18.0,4,4.0,"(6531, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj04/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj04/seed003
subject_ablation,cnn_v2_0800_250hz_nsubj04_seed004,cnn_v2,CNN-v2,cnn_v2,0800,250,False,4.0,4.0,4.0,4.0,18.0,4,4.0,"(6237, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj04/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj04/seed004
subject_ablation,cnn_v2_0800_250hz_nsubj04_seed005,cnn_v2,CNN-v2,cnn_v2,0800,250,False,4.0,5.0,4.0,4.0,18.0,4,4.0,"(6256, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj04/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj04/seed005
subject_ablation,cnn_v2_0800_250hz_nsubj06_seed001,cnn_v2,CNN-v2,cnn_v2,0800,250,False,6.0,1.0,6.0,6.0,18.0,6,5.0,"(9457, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj06/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj06/seed001
subject_ablation,cnn_v2_0800_250hz_nsubj06_seed002,cnn_v2,CNN-v2,cnn_v2,0800,250,False,6.0,2.0,6.0,6.0,18.0,6,5.0,"(9545, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj06/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj06/seed002
